nama,kategori,jenis,lokasi,harga_rata2,terjual,rating,jumlah_review,toko,umur_bulan_toko,n_produk_toko,pengikut_toko
KAOS POLOS OBLONG TSHIRT DEWASA KATUN COMBED SIZE L XL XXL XXXL -TERMURAH,Atasan,kaos,jakarta barat ,17000.0,10000,4.7,4000,82_official,6,25,2100
CELANA PENDEK PRIA CHINOS PREMIUM SANTAI DISTRO,Celana Pendek,NaN,jepara ,25000.0,10000,4.4,3000,fui_store,7,8,3700
Star(1KG MUAT 20PCS) Celana Boxer Unisex Celana Boxer Pria Wanita Celana Kolor,Pakaian Dalam,boxer,klaten ,10950.0,10000,4.7,5700,ligner_official,8,18,5800
KEMEJA PRIA BOYI TOP MAN LENGAN PANJANG PENDEK KASUAL FORMAL KERJA KANTOR POLOS PUTIH HITAM WHITE,Atasan,kemeja kasual,pekalongan ,32000.0,10000,4.8,30100,pieter.pieter,36,82,114600
StarCELANA DALAM PRIA LEMBARAN CD LAKI LAKI POLOS,Pakaian Dalam,NaN,semarang ,3599.0,10000,4.7,53200,pinky2shop,60,304,259300
COD/kaos pria/grinlike/kaos distro/kaos murah/oblong murah/atasan pria,Atasan,kaos,jakarta barat ,22300.0,10000,4.7,6000,murah_shopjkt,12,218,7800
CELANA JEANS PRIA 27 38 Bahan Bagus Ufc Venum Mma Pantai Gym Lari Fitnes Wa Distro Jk KECE HITS Q2R1,Celana Panjang,NaN,pekalongan ,53400.0,10000,4.6,19800,cixstore,32,71,24900
StarCELANA DALAM BOXER PRIA PREMIUM,Pakaian Dalam,boxer,bandung ,10550.0,10000,4.7,5500,padlockmall,25,112,20100
boxer munafie pria import new stripes kode: 8027,Pakaian Dalam,boxer,jakarta barat ,8800.0,10000,4.8,2500,ss_fashion,48,450,621100
Baju Kaos BoomBogie Termurah Dan Original Asli Barang Bandung,Atasan,kaos,cimahi ,34780.0,10000,4.8,10400,primajeans,48,23,9500
